,Job_Title,Experience,Company,Scraping_Date,Salary,Location,Tags_Associated,Posting_Date
272,Oracle ERP Finance Consultant (Technical),5-10 Yrs,Tech Elecon Pvt Limited ( Group company of Elecon Engineering Company Ltd.,09/09/2022,Not disclosed,"Kolkata, Hyderabad/Secunderabad, Pune, Anand, Bangalore/Bengaluru, Vadodara",version R12,14 Days Ago
273,Manager- Oracle ERP Cloud Corporate Trainer/Technology Faculty,10-15 Yrs,Deloitte,09/09/2022,Not disclosed,"Hyderabad/Secunderabad, Bangalore/Bengaluru",technical training,6 Days Ago
274,SAP B1 ERP- Head/ Manager/ Implementor/ Techno- Functional Consultant,8-10 Yrs,International Manufacturing Company,09/09/2022,Not disclosed,Mumbai (All Areas),SAP,5 Days Ago
275,ERP Project Manager-Oracle Fusion Finance,12-18 Yrs,Oracle,09/09/2022,Not disclosed,"Noida, Kolkata, Bangalore/Bengaluru",ERP Project Management,Few Hours Ago
276,Requirement For Fresher ERP Functional Consultant,0-1 Yrs,Greytrix,09/09/2022,Not disclosed,"Gurgaon/Gurugram, Chennai, Bangalore/Bengaluru",erp implementation,3 Days Ago
277,Package Specialist: Oracle ERP Cloud Financials,4-8 Yrs,IBM,09/09/2022,Not disclosed,Kolkata,Procurement,14 Days Ago
278,Package Consultant: Oracle ERP Financials,3-7 Yrs,IBM,09/09/2022,Not disclosed,Hyderabad/Secunderabad,Business process,11 Days Ago
279,Senior Analyst-Pharma ERP,5-8 Yrs,Accenture,09/09/2022,Not disclosed,Bangalore/Bengaluru,ERP,2 Days Ago
280,ERP Implementer - Functional Consultant,2-3 Yrs,BSquare Solution Pvt Ltd,09/09/2022,"50,000 - 70,000 PA.",New Delhi(Okhla),erp functional,1 Day Ago
281,Oracle ERP Cloud Developer,7-10 Yrs,Cerebra Consulting,09/09/2022,Not disclosed,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",IT Skills,1 Day Ago
282,Zoho ERP Executive,0-5 Yrs,Dvs Advisors,09/09/2022,Not disclosed,Chennai,ERP,1 Day Ago
283,Physical Design Engineer - VLSI / ASIC,4-7 Yrs,Talenture Management Consulting,09/09/2022,Not disclosed,Bangalore/Bengaluru,ASIC Physical Design,13 Days Ago
284,Physical Design Engineer - ASIC - VLSI Domain,4-7 Yrs,Talenture Management Consulting,09/09/2022,Not disclosed,Bangalore/Bengaluru,Physical Design,14 Days Ago
285,Senior Silicon Design Engineer - VLSI Domain,5-7 Yrs,Talenture Management Consulting,09/09/2022,Not disclosed,Bangalore/Bengaluru,VLSI,15 Days Ago
286,VLSI Design and Verification Engineer,3-8 Yrs,ALTVU PRIVATE LIMITED  ,09/09/2022,"12,00,000 - 22,00,000 PA.","Hyderabad/Secunderabad(Madhapur), Bangalore/Bengaluru",VLSI Design,14 Days Ago
287,VLSI design verification,5-10 Yrs,Advansoft International,09/09/2022,Not disclosed,"Hyderabad/Secunderabad, Coimbatore, Bangalore/Bengaluru",soc,11 Days Ago
288,VLSI design verification,5-10 Yrs,Advansoft International,09/09/2022,Not disclosed,"Hyderabad/Secunderabad, Coimbatore, Bangalore/Bengaluru",soc,11 Days Ago
289,VLSI Design Engineer - Floor Planning,2-7 Yrs,Rishyaa Digicorp,09/09/2022,Not disclosed,Bangalore/Bengaluru,Floor Planning,29 Days Ago
290,VLSI Verification Engineer - Ahmedabad/ Pune/ Remote,2-7 Yrs,Softnautics,09/09/2022,Not disclosed,"Pune, Ahmedabad",Verilog,4 Days Ago
291,VLSI ASIC Verification Engineers,5-10 Yrs,Marvell,09/09/2022,Not disclosed,Bangalore/Bengaluru,Computer science,30+ Days Ago
292,VLSI ASIC Verification Engineers,3-10 Yrs,Marvell,09/09/2022,Not disclosed,Bangalore/Bengaluru,Computer science,30+ Days Ago
293,DFT Lead Engineer - VLSI/DFT/Verilog,8-12 Yrs,Talenture Management Consulting,09/09/2022,Not disclosed,Bangalore/Bengaluru,DFT,14 Days Ago
294,VLSI Design Engineer,1-6 Yrs,TekBrains Pvt. Ltd,09/09/2022,Not disclosed,Patna,Computer science,30+ Days Ago
295,VLSI Design Engineer,1-6 Yrs,TekBrains Pvt. Ltd,09/09/2022,Not disclosed,Patna,VHDL,30+ Days Ago
296,ASIC/VLSI Physical Design Engineer,3-8 Yrs,Makonis,09/09/2022,"50,000 - 3,00,000 PA.","Hyderabad/Secunderabad, Bangalore/Bengaluru",Floorplan,30+ Days Ago
297,IS - VLSI/Semicon Senior Engineer,9-14 Yrs,IT Company,09/09/2022,"25,00,000 - 40,00,000 PA.","Mysore/Mysuru, Bangalore/Bengaluru",VLSI,10 Days Ago
298,VLSI Intern (Technical-Engineering),1-2 Yrs,Synopsys (India) Private Limited,09/09/2022,Not disclosed,Bangalore/Bengaluru,communication,30+ Days Ago
299,IS - VLSI/Semicon Engineer,3-8 Yrs,IT Company,09/09/2022,"8,00,000 - 14,00,000 PA.","Mysore/Mysuru, Bangalore/Bengaluru",VLSI,10 Days Ago
300,Physical Design Engineers,0-0 Yrs,Sivalley Technologies Private Limited,09/09/2022,"3,00,000 - 6,00,000 PA.","Hyderabad/Secunderabad, Bangalore/Bengaluru",physical design,13 Days Ago
301,Hiring For Freshers - Physical Design Engineers,0-1 Yrs,MODERNIZE CHIP SOLUTIONS PRIVATE LIMITED ,09/09/2022,"2,25,000 - 4,00,000 PA.","Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",physical design,8 Days Ago
302,"Software Engineer (C/C++, Python, Embedded, VLSI)",1-3 Yrs,SMECLabs Trivandrum,09/09/2022,Not disclosed,Chennai,SAN,30+ Days Ago
303,Mainframe Developer,2-7 Yrs,ARA Resources,09/09/2022,Not disclosed,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Gurgaon/Gurugram, Delhi / NCR, Bangalore/Bengaluru",Mainframe,1 Day Ago
304,Immediate Joiner # Mainframe Developer with Maintenance & Enhancement,5-10 Yrs,Coforge,09/09/2022,"15,00,000 - 30,00,000 PA.","Kolkata, Mumbai, Mumbai Suburban, Hyderabad/Secunderabad, Navi Mumbai, Bangalore/Bengaluru, Mumbai (All Areas)",ims db,4 Days Ago
305,"Mainframe Developer ( Cobol, DB2)",2-4 Yrs,Vikash Technologies,09/09/2022,Not disclosed,"Noida, Kolkata, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Mainframe,1 Day Ago
306,Mainframe Developer ,2-4 Yrs,FresherMart,09/09/2022,Not disclosed,"Noida, Kolkata, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",COBOL,2 Days Ago
307,Mainframe Developer For MNC || Contractual Position,3-8 Yrs,TeamLease,09/09/2022,Not disclosed,Chennai,mainframe developer,3 Days Ago
308,Tcs is Hiring For Mainframe Network Administration,8-12 Yrs,TATA CONSULTANCY SERVICES (TCS),09/09/2022,Not disclosed,"Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",mainframe network administration,3 Days Ago
309,Hiring Mainframe Developer For TechM,4-6 Yrs,Tech Mahindra,09/09/2022,Not disclosed,"Hyderabad/Secunderabad, Chennai",JCL,4 Days Ago
310,Mainframe Developer,3-8 Yrs,Conduent,09/09/2022,"8,50,000 - 16,00,000 PA.","Noida, Delhi / NCR",cobol,2 Days Ago
311,Mainframe Developer- Chennai,2-6 Yrs,Tech Mahindra,09/09/2022,Not disclosed,"Chennai, Coimbatore",jcl,4 Days Ago
312,Hiring || Mainframe or zOS Developer For MNC Company || C2H Role,4-7 Yrs,TeamLease,09/09/2022,Not disclosed,Chennai,cobol,3 Days Ago
313,Urgent opening For Mainframe Developer - Hyderabad,6-11 Yrs,Mphasis,09/09/2022,Not disclosed,Hyderabad/Secunderabad,jcl,6 Days Ago
314,Java / .Net / Oracle PL / SQL / Mainframe / Angular / Developer,3-7 Yrs,Infosys,09/09/2022,Not disclosed,Hyderabad/Secunderabad,Java,2 Days Ago
315,Java / .Net / Oracle Plsql / Mainframe / Angular / Devops Developer,3-8 Yrs,Infosys,09/09/2022,Not disclosed,Hyderabad/Secunderabad,Java,2 Days Ago
316,Mainframe Developer - JCL/CICS/COBOL,3-8 Yrs,Career Infosystem,09/09/2022,Not disclosed,"Kolkata, Pune, Chennai, Bangalore/Bengaluru",JCL,8 Days Ago
317,Java / .Net / Oracle Plsql / Mainframe / Angular / Devops Developer,3-8 Yrs,Infosys,09/09/2022,Not disclosed,Chennai,Java,3 Days Ago
318,Mainframe Developer,3-8 Yrs,Infosys,09/09/2022,Not disclosed,Bangalore/Bengaluru,Mainframe Development,7 Days Ago
319,Mainframe Developer,3-7 Yrs,DynPro,09/09/2022,Not disclosed,Chennai,VSAM,7 Days Ago
320,Tcs Urgently Hiring For Middleware Admin (IIS) Admin,5-10 Yrs,TATA CONSULTANCY SERVICES (TCS),09/09/2022,Not disclosed,"Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",IIS,Few Hours Ago
321,Middleware Administrator,3-8 Yrs,FUTURE NETWINGS SECURENET PVT LTD ,09/09/2022,"4,00,000 - 8,00,000 PA.","Noida, Kolkata, Mumbai (All Areas)",tomcat,2 Days Ago
322,Middleware Administrator - Kolkata Location,5-8 Yrs,TATA CONSULTANCY SERVICES (TCS),09/09/2022,Not disclosed,Kolkata,MQ,11 Days Ago
323,Middleware Layer7 (API Gateway) administrator,4-7 Yrs,TATA CONSULTANCY SERVICES (TCS),09/09/2022,Not disclosed,Pune,Layer 7,2 Days Ago
324,Tcs is Hiring For Middleware Architect- Pan India,8-12 Yrs,TATA CONSULTANCY SERVICES (TCS),09/09/2022,Not disclosed,"Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",Middleware,4 Days Ago
325,Middleware TWS @ PAN India,5-10 Yrs,Tech Mahindra,09/09/2022,Not disclosed,"Kolkata, Ahmedabad, Chennai",TWS,1 Day Ago
326,Senior Engineer - Middleware Admin,4-9 Yrs,CAMBRIDGE TECHNOLOGY ENTERPRISES (CTE),09/09/2022,"6,00,000 - 12,00,000 PA.","Hyderabad/Secunderabad, Bangalore/Bengaluru",Jboss Server,2 Days Ago
327,Application Developer: Oracle Middleware,4-7 Yrs,IBM,09/09/2022,Not disclosed,Kolkata,Agile,9 Days Ago
328,Application Developer: Oracle Cloud Middleware,5-10 Yrs,IBM,09/09/2022,Not disclosed,Kolkata,Order management,10 Days Ago
329,Application Developer: Oracle Cloud Middleware,4-8 Yrs,IBM,09/09/2022,Not disclosed,Kolkata,Order management,14 Days Ago
330,Application Developer: Oracle Cloud Middleware,4-8 Yrs,IBM,09/09/2022,Not disclosed,Kolkata,Order management,14 Days Ago
331,Application Developer: Oracle Middleware,4-7 Yrs,IBM,09/09/2022,Not disclosed,Kolkata,Agile,14 Days Ago
332,Senior Engineer - Middleware Admin,4-8 Yrs,CAMBRIDGE TECHNOLOGY ENTERPRISES (CTE),09/09/2022,"50,000 - 3,00,000 PA.","Hyderabad/Secunderabad, Bangalore/Bengaluru",Weblogic Administration,3 Days Ago
333,Senior Middleware Administrator | Fortune500 Banking Company,6-8 Yrs,TALENT500 TECH (INDIA) PRIVATE LIMITED,09/09/2022,Not disclosed,Bangalore/Bengaluru,IBM Websphere,6 Days Ago
334,Advanced Middleware Support Engineer,4-9 Yrs,Oracle,09/09/2022,"15,00,000 - 27,50,000 PA.","Mumbai, Chennai",ODI,Few Hours Ago
335,ACS  Advanced Middleware Support Engineer,4-9 Yrs,Oracle,09/09/2022,"14,00,000 - 22,50,000 PA.","Mumbai, Chennai",Oracle HTTP Server,Few Hours Ago
336,Application Developer: Oracle Middleware,4-7 Yrs,IBM,09/09/2022,Not disclosed,Gurgaon/Gurugram,Agile,4 Days Ago
337,Software Maintenance Engineer (Middleware) - Permanent WFH,2-7 Yrs,Red Hat,09/09/2022,Not disclosed,"Pune, Delhi / NCR, Bangalore/Bengaluru",Java,1 Day Ago
338,Senior Oracle Fusion Middleware Administrator,8-13 Yrs,S Square,09/09/2022,Not disclosed,Hyderabad/Secunderabad,IT Skills,10 Days Ago
339,React Native Mobile Application Developer,5-10 Yrs,Born Commerce,09/09/2022,"8,00,000 - 18,00,000 PA.","Kolkata, Nagpur, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",Mobile Technology,2 Days Ago
340,Application Developer: SAP NextGen UX & Mobile,6-10 Yrs,IBM,09/09/2022,Not disclosed,Pune,SAP,3 Days Ago
341,Application Developer: Mobile Android,3-7 Yrs,IBM,09/09/2022,Not disclosed,Bangalore/Bengaluru,Performance tuning,14 Days Ago
342,Android Mobile Application Developer,0-5 Yrs,Shakuniya Solutions Pvt Ltd,09/09/2022,"5,00,000 - 11,00,000 PA.",Chennai(Kilpauk),retrofit,13 Days Ago
343,Senior Android Developer/ Mobile Application Developer,1-6 Yrs,Appynitty Communications Private Limited ,09/09/2022,Not disclosed,Nagpur,rest,7 Days Ago
344,Mobile Application Developer,3-8 Yrs,Fidelity International,09/09/2022,Not disclosed,Gurgaon/Gurugram,Mobile Application Development,Few Hours Ago
345,Application Developer: Mobile iOS,3-7 Yrs,IBM,09/09/2022,Not disclosed,Bangalore/Bengaluru,Debugging,14 Days Ago
346,Application Developer: Mobile iOS,2-5 Yrs,IBM,09/09/2022,Not disclosed,Bangalore/Bengaluru,Debugging,14 Days Ago
347,Mobile Application Developer For Android (React Native),1-3 Yrs,Karnarogyam Private Limited ,09/09/2022,"2,25,000 - 3,00,000 PA.","Noida, Bangalore/Bengaluru",React Native Apps,10 Days Ago
348,Android Mobile Application Developer,2-5 Yrs,Kadel Labs,09/09/2022,Not disclosed,"Hyderabad/Secunderabad, Thrissur/Trichur, Bangalore/Bengaluru",Java,8 Days Ago
349,Mobile App Developer - iOS/Android Platform,0-5 Yrs,GharOffice,09/09/2022,Not disclosed,Bangalore/Bengaluru,iOS,2 Days Ago
350,Senior Mobile Application Developer/React native,3-8 Yrs,ESDS Software Solutions,09/09/2022,"50,000 - 3,00,000 PA.",Nasik/Nashik,android studio,6 Days Ago
351,Junior Android/Kotlin Developer - Mobile App Designing,1-3 Yrs,Coddle Technologies Pvt. Ltd,09/09/2022,Not disclosed,"Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Ahmedabad, Delhi / NCR, Bangalore/Bengaluru",Android,2 Days Ago
352,Immediate Opening For Android Mobile App Developer,3-5 Yrs,Cameo Corporate Services,09/09/2022,Not disclosed,Chennai(Mount Road),android,2 Days Ago
353,FullStack Developer with Desktop / Mobile Applications Dev Experience.,6-8 Yrs,Infogain,09/09/2022,"15,00,000 - 25,00,000 PA.","Noida, Pune, Gurgaon/Gurugram, Bangalore/Bengaluru, Mumbai (All Areas)",Java,13 Days Ago
354,Senior iOS Mobile Developer,4-8 Yrs,Freshworks,09/09/2022,"18,00,000 - 27,50,000 PA.","Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",ios,1 Day Ago
355,Android Mobile App Developer - Kotlin/MVVM,1-6 Yrs,Patch Infotech Private Limited,09/09/2022,Not disclosed,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Ahmedabad, Delhi / NCR, Bangalore/Bengaluru",Android,10 Days Ago
356,Android Mobile App Developer - Kotlin/MVVM,1-6 Yrs,Patch Infotech Private Limited,09/09/2022,Not disclosed,"Kolkata, Mumbai, Visakhapatnam, Hyderabad/Secunderabad, Pune, Chennai, Ahmedabad, Delhi / NCR, Bangalore/Bengaluru",Kotlin,13 Days Ago
357,Android Mobile Application Developer,1-4 Yrs,Allegient,09/09/2022,"1,25,000 - 3,50,000 PA.",Delhi / NCR,Web Application Development,10 Days Ago
358,Network/System Administrator- Bangalore,0-1 Yrs,Delivery Centric Technologies,09/09/2022,Not disclosed,Bangalore/Bengaluru(Hebbal),System Administration,Few Hours Ago
359,opening For Network Administrator/Engg,4-9 Yrs,IDC TECHNOLOGIES SOLUTIONS INDIA PVT LIMITED  ,09/09/2022,"50,000 - 80,000 PA.",Chennai,Network Administrator/Engg,Few Hours Ago
360,IT Systems & Network Administrator,3-5 Yrs,Mindzcloud Technologies,09/09/2022,Not disclosed,Bangalore/Bengaluru,Networking Protocols,2 Days Ago
361,IT Network Administrator,0-3 Yrs,Ikeva Venture And Knowledge Advisory,09/09/2022,"2,75,000 - 3,75,000 PA.",Hyderabad/Secunderabad(Madhapur +1),it networking,10 Days Ago
362,Network Administrator,5-7 Yrs,Samsung India,09/09/2022,Not disclosed,Bangalore/Bengaluru,Network administration,6 Days Ago
363,Network Administrator,4-6 Yrs,Keywords Studios,09/09/2022,Not disclosed,Gurgaon/Gurugram,Network Engineering,1 Day Ago
364,Network Administrator - Chennai,2-7 Yrs,Inspirisys Solution,09/09/2022,"3,00,000 - 4,00,000 PA.",Chennai,Networking,6 Days Ago
365,Immediate opening For Network Administrator For Mumbai Location,1-4 Yrs,Future Focus Infotech,09/09/2022,"1,00,000 - 3,50,000 PA.",Mumbai (All Areas)(Mumbai Central),Network Administration,1 Day Ago
366,Network Administrator,5-10 Yrs,TATA CONSULTANCY SERVICES (TCS),09/09/2022,Not disclosed,"Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Network Administration,13 Days Ago
367,Opening For Server & Network Administrator- KGK China Location!,8-13 Yrs,KGK Group,09/09/2022,Not disclosed,China,networking,3 Days Ago
368,Manager Network & Cloud Admin,9-14 Yrs,Balmer Lawrie and Co Ltd.  ,09/09/2022,"18,00,000 - 19,00,000 PA.",Kolkata,IT,1 Day Ago
369,Network Administrator & System Admin,0-2 Yrs,FIN Infocom,09/09/2022,Not disclosed,Hyderabad/Secunderabad,Installation,3 Days Ago
370,System and Network Administrator - Night Shift - On Site - Gachibowli,1-3 Yrs,SCreatives Software Services Private Limited   ,09/09/2022,"1,50,000 - 2,50,000 PA.",Hyderabad/Secunderabad(Gachibowli),night shift,1 Day Ago
371,System & Network Administrator,1-6 Yrs,Way2Wealth,09/09/2022,"1,00,000 - 4,50,000 PA.","Mumbai Suburban, Navi Mumbai, Bangalore/Bengaluru",networking,3 Days Ago
372,system/Network Administrator with 3+ yrs exp For Ahmedabad,3-8 Yrs,Intesols Private Limited,09/09/2022,"3,00,000 - 6,00,000 PA.",Ahmedabad,CPanel,4 Days Ago
373,Lead Network Administrator - Information Technology - Pune,4-8 Yrs,Nexdigm,09/09/2022,Not disclosed,Pune,WAN,3 Days Ago
374,Urgent require  Sr. Network Admin- Delhi Location,3-7 Yrs,CMS Computers,09/09/2022,Not disclosed,"New Delhi, Delhi / NCR",Routing And Switching,3 Days Ago
375,Network Administrator,3-6 Yrs,Prathigna.com Hr Solutions Pvt. Ltd. ,09/09/2022,"2,50,000 - 6,50,000 PA.",Bangalore/Bengaluru,CCNA,1 Day Ago
376,"Software Senior Engineer- C++, Redfish, System level programming",5-10 Yrs,Dell International Services IndiaPrivate Limited,09/09/2022,Not disclosed,Bangalore/Bengaluru,C++,1 Day Ago
377,Curam Developer - System Programming,3-8 Yrs,Career Infosystem,09/09/2022,Not disclosed,Bangalore/Bengaluru,Oracle DB,8 Days Ago
378,Android Developer - System Programming,1-4 Yrs,Future India Services,09/09/2022,Not disclosed,"Noida, Mumbai",Android,14 Days Ago
379,Linux System Programming,5-8 Yrs,iT People Corporation,09/09/2022,Not disclosed,Bangalore/Bengaluru,C,13 Days Ago
380,Software Developer -Linux; System Programming; C,3-6 Yrs,iT People Corporation,09/09/2022,Not disclosed,Hyderabad/Secunderabad,Network programming,16 Days Ago
381,C System Programming with Linux - Staff Engineer/SMTS/MTS3/MTS2,10-15 Yrs,Vmware,09/09/2022,Not disclosed,Bangalore/Bengaluru,OO language,30+ Days Ago
382,Software Build Engineer - System Programming,5-7 Yrs,LeitMotif Solutions Private Limited,09/09/2022,Not disclosed,Kolkata,C++,29 Days Ago
383,Linux Kernel system programming developer,4-7 Yrs,Valuable Consulting,09/09/2022,Not disclosed,Bangalore/Bengaluru,Lauterbach,27 Days Ago
384,C/c Programmer/ Linux Systems Programming,3-6 Yrs,iT People Corporation,09/09/2022,Not disclosed,Bangalore/Bengaluru,Application support,14 Days Ago
385,Software/System Applications Developer - Java/C/C++ Programming,0-1 Yrs,Peer To Peer HR Services,09/09/2022,Not disclosed,Udaipur,Java,16 Days Ago
386,Embedded System Software Developer(COM/AUTOSAR/Tester/EOL Programming),3-7 Yrs,Bosch Global Software Technologies,09/09/2022,Not disclosed,Bangalore/Bengaluru,Embedded C,28 Days Ago
387,Laboratory Information & Execution Systems Program/Project Management,4-6 Yrs,Accenture,09/09/2022,Not disclosed,Bangalore/Bengaluru,Oracle SQL,16 Days Ago
388,Laboratory Information & Execution Systems Program/Project Management,4-6 Yrs,Accenture,09/09/2022,Not disclosed,Bangalore/Bengaluru,Oracle SQL,24 Days Ago
389,Laboratory Information & Execution Systems Program/Project Management,8-10 Yrs,Accenture,09/09/2022,Not disclosed,Bangalore/Bengaluru,Oracle SQL,24 Days Ago
390,Senior Java Developer,0-1 Yrs,Sahasya Global Solutions,09/09/2022,Not disclosed,Bengaluru,MYSQL,30+ Days Ago
391,System Administration & Programming - Big Data/hadoop,5-10 Yrs,Career Infosystem,09/09/2022,Not disclosed,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",Linux,8 Days Ago
392,Systems Program Manager,2-3 Yrs,Varian Medical Systems India Software Pvt Ltd,09/09/2022,Not disclosed,Pune,IT Skills,30+ Days Ago
393,hiring For java developer || Senior Software Engineer,3-7 Yrs,Coforge,09/09/2022,"7,00,000 - 17,00,000 PA.","Noida, Bhubaneswar, Kolkata, Mumbai, Ghaziabad, New Delhi, Gurgaon/Gurugram, Bangalore/Bengaluru, Greater Noida",REST,1 Day Ago
394,Senior Software Engineer - C Developer,3-5 Yrs,FACTSET SYSTEMS INDIA PVT LTD,09/09/2022,Not disclosed,Hyderabad/Secunderabad,Computer science,23 Days Ago
395,"Senior System Software Engineer, CUDA - Tegra",4-6 Yrs,NVIDIA,09/09/2022,Not disclosed,Bangalore/Bengaluru,Computer science,30+ Days Ago
396,"EDP IT Executive/Operator_Bahadurgarh, Haryana",2-6 Yrs,MECHMAARK FILTECH INDIA PRIVATE LIMITED ,09/09/2022,Not disclosed,Bahadurgarh,EDP Operator,14 Days Ago
397,EDP Operator,0-15 Yrs,WSD Consultant,09/09/2022,Not disclosed,"Noida, Gurgaon",Printing,30+ Days Ago
398,IT Software -  ERP / CRM / EDP / MIS,2-5 Yrs,Lakshmi North East Solutions,09/09/2022,Not disclosed,Guwahati,Marketing programs,30+ Days Ago
399,EDP EXECUTIVE,1-3 Yrs,BINOD HYUNDAI,09/09/2022,Not disclosed,Angul,Excel,30+ Days Ago
400,EDP - EXECUTIVE,1-6 Yrs,Saphire Honda,09/09/2022,Not disclosed,Bengaluru,Product training,30+ Days Ago
401,Manager - IT / EDP,7-12 Yrs,CENTURY NF CASTING (A DIV OF CENTURY ALUM. MFG. CO ,09/09/2022,"5,50,000 - 8,00,000 PA. (Including Variable: 10.0%)","Hodal, Faridabad, Manesar",ERP Implementation,10 Days Ago
402,EDP officer | Urgently Required | Thane || Navi Mumbai,0-4 Yrs,Aakash Institute,09/09/2022,"3,00,000 - 4,50,000 PA.","Thane, Navi Mumbai, Mumbai (All Areas)",MS Office,24 Days Ago
403,EDP officer | Urgently Required | Latur,0-4 Yrs,Aakash Institute,09/09/2022,"3,00,000 - 4,50,000 PA.","Kolhapur, Sangli, Latur",MS Office,11 Days Ago
404,Hiring EDP - Manager @ Mumbai BKC,5-10 Yrs,Systematix Shares & Stocks,09/09/2022,Not disclosed,"Mumbai Suburban, Thane, Navi Mumbai, Mumbai (All Areas)",CLASS SOFTWARE,18 Days Ago
405,erp data entry operator edp,2-7 Yrs,Seven Consultancy,09/09/2022,Not disclosed,"Mumbai, Thane",Usage,30+ Days Ago
406,EDP (Electronic Data Processing),2-4 Yrs,STAR TRACE PVT LTD,09/09/2022,Not disclosed,Chennai,Help Desk,30+ Days Ago
407,edp operator,2-5 Yrs,WSD Consultant,09/09/2022,Not disclosed,"Noida, Gurgaon/Gurugram",Printing,30+ Days Ago
408,Edp Hardware Software,2-7 Yrs,Taj Consultancy    ,09/09/2022,Not disclosed,Nagpur,Network Configuration,1 Day Ago
409,Business/EDP Analyst,2-7 Yrs,Bagful International LLP,09/09/2022,Not disclosed,Mohali,BPO,30+ Days Ago
410,ERP/EDP Executives,2-4 Yrs,Singapore International School,09/09/2022,Not disclosed,Mumbai,Help Desk,30+ Days Ago
411,Opening For EDP Officer - MIS IN Edtech Sector,1-5 Yrs,Excel HR Solutions Private Limited  ,09/09/2022,"3,00,000 - 4,00,000 PA.",Ahmedabad,MIS Updation,21 Days Ago
412,Opening For EDP Officer - MIS IN Edtech Sector,1-5 Yrs,Excel HR Solutions Private Limited  ,09/09/2022,"3,00,000 - 4,00,000 PA.",Pune,MIS Updation,30+ Days Ago
413,IT Manager / EDP Incharge,10-15 Yrs,L. G. Haria Rotary Hospital - Vapi,09/09/2022,Not disclosed,"Valsad, Vapi, Dadra & Nagar Haveli/Silvassa",EDP,22 Days Ago
414,EDP Incharge,3-4 Yrs,mycitypune,09/09/2022,Not disclosed,Pune,assembly language,30+ Days Ago
415,EDP Manager,3-5 Yrs,mycityband,09/09/2022,Not disclosed,"Hyderabad, Ahmedabad",Export import,30+ Days Ago
416,Head of Global Sales For a Telecom Software Co,15-24 Yrs,Dev Solutions ,09/09/2022,"85,00,000 - 1 Cr and above PA.",Gurgaon/Gurugram,Global Sales,5 Days Ago
417,Telecom Software Developer/Lead,2-7 Yrs,Iktara Data Sciences,09/09/2022,"4,00,000 - 9,00,000 PA.","Noida, Faridabad, Gurgaon/Gurugram",Telecom Software Development,9 Days Ago
418,Software Development Engineer(Telecom-BSS),2-7 Yrs,CSG,09/09/2022,Not disclosed,Bangalore/Bengaluru,Telecom,5 Days Ago
419,Telecom Software/VAS Sales in Latin America,15-21 Yrs,Dev Solutions ,09/09/2022,1 Cr and above PA.,Brazil,Telecom,5 Days Ago
420,Senior Software Engineer - LTE - Telecom Domain,5-10 Yrs,Best Infosystems Ltd,09/09/2022,Not disclosed,Chennai,Telecom,11 Days Ago
421,Java Lead Job Opening with leading Telecom software company,6-11 Yrs,Prodapt Solutions,09/09/2022,Not disclosed,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",Microservices,30+ Days Ago
422,Telecom Software & Networking,2-7 Yrs,CybOrg Technologies,09/09/2022,Not disclosed,"Noida, Greater Noida",GSM,30+ Days Ago
423,Telecom Software & Networking,2-7 Yrs,CybOrg Technologies,09/09/2022,Not disclosed,Noida,GSM,30+ Days Ago
424,Telecom Software & Networking,2-7 Yrs,CybOrg Technologies,09/09/2022,Not disclosed,Chennai,gsm,30+ Days Ago
425,Telecom Software & Networking,2-7 Yrs,CybOrg Technologies,09/09/2022,Not disclosed,Noida,gsm,30+ Days Ago
426,Principal Software Developer (Telecom Product Development),10-16 Yrs,Oracle,09/09/2022,Not disclosed,"Hyderabad/Secunderabad, Bangalore/Bengaluru, Delhi / NCR",Java,24 Days Ago
427,Software Engineer (Telecom Domain),5-8 Yrs,Resources Valley,09/09/2022,Not disclosed,Bangalore/Bengaluru,4G/5G RAN,30+ Days Ago
428,Embedded Software engineer with Telecom domain,3-4 Yrs,Valuable Consulting,09/09/2022,Not disclosed,Bangalore/Bengaluru,RTOS,27 Days Ago
429,Telecom Software & Networking,2-7 Yrs,CybOrg Technologies,09/09/2022,Not disclosed,Noida,Telecom Software & Networking,30+ Days Ago
