,Job_Title,Experience,Company,Scraping_Date,Salary,Location,Tags_Associated,Posting_Date
160,HR Executive and Recruiter,0-5 Yrs,Paramount Plaster Pvt Ltd,09/09/2022,"1,00,000 - 1,50,000 PA.",Gwalior,Human Resource Management,1 Day Ago
161,HR Executive and Recruiter,0-3 Yrs,Him Technology Private Limited,09/09/2022,"2,00,000 - 3,00,000 PA.",Mohali,HR,2 Days Ago
162,Wanted HR recruitment executive and counselor - Female candidate,0-3 Yrs,RESOLVE ITECH CORP,09/09/2022,"1,00,000 - 2,00,000 PA.","Madurai, Chennai, Virudhunagar",Customer Service,2 Days Ago
163,Executive Trainee-HR,0-1 Yrs,Anand Rathi Insurance Brokers,09/09/2022,"3,25,000 - 4,00,000 PA.",Mumbai (All Areas),Campus Hiring,Just Now
164,HR Executive - Contract role - HR Employee Relations,0-2 Yrs,24 7 ai,09/09/2022,Not disclosed,Bangalore/Bengaluru,employee relations,7 Days Ago
165,Hiring  Fresher Graduates in HR Recruitment - Delhi NCR,0-5 Yrs,2coms,09/09/2022,"50,000 - 2,00,000 PA.","Delhi / NCR, Delhi",fresher,Just Now
166,Hiring  Fresh Graduates as HR Recruiter - Cuttack (wfo),0-5 Yrs,2coms,09/09/2022,"50,000 - 2,00,000 PA.","Cuttack, Cuttack Sadar",Screening,Just Now
167,Hiring Fresh Graduates as HR Recruiter-hyderabad (wfo),0-5 Yrs,2coms,09/09/2022,Not disclosed,"Hyderabad/Secunderabad, Hyderabad",Screening,Just Now
168,HR Executive and Generalist,0-2 Yrs,Compass Group,09/09/2022,"2,00,000 - 2,75,000 PA.",Bangalore/Bengaluru,joining formalities,8 Days Ago
169,HR Executive and Recruiter,0-5 Yrs,Cita Training Academy ,09/09/2022,Not disclosed,"New Delhi, Gurgaon/Gurugram, Delhi / NCR",hr,Few Hours Ago
170,HR Executive and Recruiter,0-3 Yrs,EFFICACY ACCOUNT MANAGEMENT SOLUTIONS PVT LTD ,09/09/2022,"1,50,000 - 2,50,000 PA.",Chennai(West Tambaram +2),recruitment,1 Day Ago
171,Front Office Executive/Reservation Executive/Hotel Manager,2-7 Yrs,Gagal Home and Hospitality Service LLP,09/09/2022,"2,00,000 - 4,00,000 PA.",Mumbai (All Areas),Front Office Operations,3 Days Ago
172,Food and Beverage Manager- Ajmer,0-5 Yrs,Hotel Chitvan,09/09/2022,Not disclosed,Ajmer,F&b,8 Days Ago
173,Front Office Manager For a Hotel sector,4-6 Yrs,Hotel Emperor Palms,09/09/2022,Not disclosed,"New Delhi, Delhi / NCR",front office management,10 Days Ago
174,Spa Manager || Tattva Spa at Leading Hotels & Resorts,3-8 Yrs,Tattva Spa,09/09/2022,"1,00,000 - 5,50,000 PA.","Ahmedabad, Jaipur, Bangalore/Bengaluru",Hotel Sales,2 Days Ago
175,"Hotel General Manager Food and Beverage, Front Office",5-10 Yrs,PARK ELITE ,09/09/2022,Not disclosed,Vijayawada,Banquet Marketing,14 Days Ago
176,Hotel Restaurant Manager,7-10 Yrs,Bravura Gold Resort,09/09/2022,Not disclosed,"Meerut, Delhi / NCR",Restaurant Manager,8 Days Ago
177,Enterprise Accounts Manager - Hotel,5-8 Yrs,Talentstack Consulting Pvt Ltd,09/09/2022,Not disclosed,"Mumbai, Hyderabad/Secunderabad, Bangalore/Bengaluru",Accounts management,Just Now
178,Permanent Job Opportunity with Hotels & Restaurants in Germany,0-5 Yrs,TGM Services Private Limited,09/09/2022,"10,00,000 - 20,00,000 PA.",Germany,Hospitality,2 Days Ago
179,General Manager Hotel Operations,12-15 Yrs,Daiwik Hotels,09/09/2022,Not disclosed,Rameswaram,hotel operations,10 Days Ago
180,Operation Manager,3-5 Yrs,Hotel Suba Palace,09/09/2022,Not disclosed,Mumbai,Team Management,14 Days Ago
181,Resort Manager,2-7 Yrs,Hotel Chitvan,09/09/2022,Not disclosed,Ajmer,resort manager,6 Days Ago
182,Hotel Sales & Marketing Manager - Mumbai,5-10 Yrs,Hotel Parle International - Mumbai,09/09/2022,Not disclosed,Mumbai (All Areas),Event Management,1 Day Ago
183,Hotel Manager,2-7 Yrs,Hotel Kanishk,09/09/2022,"2,25,000 - 3,00,000 PA.",Bawal,Management Skills,2 Days Ago
184,Chief Engineer / Maintenance Manager ( Hotel Background Only),3-8 Yrs,LP Vilas by LP Hotels A Unit of M/S MOTEL LALIT PA LACE,09/09/2022,Not disclosed,Dehradun,Hotel Maintenance,10 Days Ago
185,Audit Manager (Four Star Hotel in Bahrain),3-8 Yrs,Ramee Group of Hotels,09/09/2022,"9,00,000 - 15,00,000 PA.",Bahrain,Audit Manager,1 Day Ago
186,Restaurant & Star Hotel Vacancy in Malaysia,0-5 Yrs,SWAGATHAM RESOURCE MANAGEMENT INDIA PRIVATE LTD ,09/09/2022,"5,00,000 - 6,00,000 PA.","Tirupati, Chennai, Malaysia",cook,1 Day Ago
187,HR Asst Mgr / Training Manager ( Hotel / Facility Industry),4-6 Yrs,The Basil Hospitality Services (A facility Managed Company),09/09/2022,"3,50,000 - 4,25,000 PA.","Bangalore Rural, Whitefield Sarjapura Road",recruitment training,13 Days Ago
